Verse,Reference,Theme
"I am caught between the two. I long to depart this life and be with Christ, [for] that is far better.",Philippians 1:23,General
that all who have not believed the truth but have approved wrongdoing may be condemned.,2Thessalonians 2:12,General
"So I went up to the angel and told him to give me the small scroll. He said to me, “Take and swallow it. It will turn your stomach sour, but in your mouth it will taste as sweet as honey.”",Revelation 10:9,General
The Samaritan Woman. He had to pass through Samaria.,John 4:4,General
“Why do your disciples break the tradition of the elders? They do not wash [their] hands when they eat a meal.”,Matthew 15:2,General
"When Jesus began his ministry he was about thirty years of age. He was the son, as was thought, of Joseph, the son of Heli,",Luke 3:23,General
"Jesus answered and said to them, “This is the work of God, that you believe in the one he sent.”",John 6:29,General
"It is those who want to make a good appearance in the flesh who are trying to compel you to have yourselves circumcised, only that they may not be persecuted for the cross of Christ.",Galatians 6:12,General
"Adulterers! Do you not know that to be a lover of the world means enmity with God? Therefore, whoever wants to be a lover of the world makes himself an enemy of God.",James 4:4,General
"She will bear a son and you are to name him Jesus, because he will save his people from their sins.”",Matthew 1:21,General
"Then from the cloud came a voice that said, “This is my chosen Son; listen to him.”",Luke 9:35,General
"It is imperative to silence them, as they are upsetting whole families by teaching for sordid gain what they should not.",Titus 1:11,General
"But you, remain faithful to what you have learned and believed, because you know from whom you learned it,",2Timothy 3:14,General
"It was also allowed to wage war against the holy ones and conquer them, and it was granted authority over every tribe, people, tongue, and nation.",Revelation 13:7,General
"And he replied, “Then every scribe who has been instructed in the kingdom of heaven is like the head of a household who brings from his storeroom both the new and the old.”",Matthew 13:52,General
"Peter said to him in reply, “Though all may have their faith in you shaken, mine will never be.”",Matthew 26:33,General
"But he said to the woman, “Your faith has saved you; go in peace.”",Luke 7:50,General
"saying, “Teacher, Moses said, ‘If a man dies without children, his brother shall marry his wife and raise up descendants for his brother.’",Matthew 22:24,General
I shed many tears because no one was found worthy to open the scroll or to examine it.,Revelation 5:4,General
"[ Now to him who can strengthen you, according to my gospel and the proclamation of Jesus Christ, according to the revelation of the mystery kept secret for long ages",Romans 16:25,General
"and endurance, proven character, and proven character, hope,",Romans 5:4,General
Paul’s Plans; Need for Prayers. That is why I have so often been prevented from coming to you.,Romans 15:22,General
"So the disciples determined that, according to ability, each should send relief to the brothers who lived in Judea.",Acts 11:29,General
"and I shall say to myself, “Now as for you, you have so many good things stored up for many years, rest, eat, drink, be merry!”’",Luke 12:19,General
"There he met a Jew named Aquila, a native of Pontus, who had recently come from Italy with his wife Priscilla because Claudius had ordered all the Jews to leave Rome. He went to visit them",Acts 18:2,General
That is why “it was credited to him as righteousness.”,Romans 4:22,General
I begged your disciples to cast it out but they could not.”,Luke 9:40,General
Guard this rich trust with the help of the holy Spirit that dwells within us.,2Timothy 1:14,General
"I. The Preparation for the Christian Mission Chapter 1 - The Promise of the Spirit. In the first book, Theophilus, I dealt with all that Jesus did and taught",Acts 1:1,General
"One might even say that Levi himself, who receives tithes, was tithed through Abraham,",Hebrews 7:9,General
But Paul chose Silas and departed after being commended by the brothers to the grace of the Lord.,Acts 15:40,General
Then the disciples returned home. The Appearance to Mary of Magdala.,John 20:10,General
"just as I try to please everyone in every way, not seeking my own benefit but that of the many, that they may be saved.",1Corinthians 10:33,General
"What then shall we say to this? If God is for us, who can be against us?",Romans 8:31,General
You fools! Did not the maker of the outside also make the inside?,Luke 11:40,General
See how a person is justified by works and not by faith alone.,James 2:24,General
